texto,categoria
el equipo local ganó el partido con un gol en el último minuto,deportes
el ministro respondió a las críticas de la oposición,politica
el tribunal constitucional evaluó la reforma tributaria,politica
el tenista clasificó a la final del torneo tras un partido reñido,deportes
el técnico anunció la alineación titular para la final,deportes
los desarrolladores presentaron una app para aprender idiomas,tecnologia
la startup recaudó fondos para escalar su plataforma,tecnologia
los partidos políticos iniciaron la campaña electoral,politica
el algoritmo de recomendación mejora la experiencia del usuario,tecnologia
la actualización del software corrige varias vulnerabilidades,tecnologia
el laboratorio presentó un robot capaz de aprender tareas nuevas,tecnologia
la alcaldesa presentó el plan de obras para la ciudad,politica
el gobierno firmó un acuerdo internacional de comercio,politica
el congreso debatió la nueva ley de presupuesto público,politica
el club fichó a un delantero para reforzar el ataque,deportes
la selección se prepara para el mundial con nuevos jugadores,deportes
el nuevo procesador promete el doble de rendimiento,tecnologia
el equipo de básquet remontó veinte puntos en el último cuarto,deportes
el parlamento discutió el aumento del salario mínimo,politica
el celular incorpora una cámara con mayor resolución,tecnologia
el boxeador defendió su título con un nocaut en el tercer round,deportes
el presidente anunció reformas al sistema de salud,politica
la empresa lanzó un nuevo modelo de inteligencia artificial,tecnologia
el senado aprobó el proyecto de ley tras una larga sesión,politica
el árbitro sancionó un penal decisivo en el segundo tiempo,deportes
los candidatos presentaron sus propuestas para las elecciones,politica
el maratón contó con miles de corredores en la capital,deportes
la plataforma en la nube añadió soporte para nuevos lenguajes,tecnologia
el ciclista ganó la etapa de montaña en el último kilómetro,deportes
la compañía anunció un chip más eficiente en consumo de energía,tecnologia
