texto,sentimiento
"excelente relación calidad precio, muy satisfecho con la compra",positivo
"buenísimo el producto, lo recomiendo sin dudarlo",positivo
"gran experiencia, el equipo es muy profesional",positivo
el restaurante tiene un ambiente hermoso y la comida rica,positivo
"feo diseño, no funciona bien y se ve horrible",negativo
"estoy furioso con la compra, todo salió mal",negativo
"el envío llegó antes de lo previsto, todo perfecto",positivo
"servicio terrible, definitivamente no recomiendo esta tienda",negativo
"no recomiendo para nada este lugar, todo fue un desastre",negativo
"la comida estaba deliciosa, el lugar es hermoso",positivo
"el software es lento y difícil de usar, lo odio",negativo
"aprendí un montón con este curso, muy bien explicado",positivo
"quedé decepcionado con el resultado, no cumplió nada",negativo
"pésimo servicio, no lo recomiendo para nada",negativo
"recomiendo totalmente este lugar, todo fue perfecto",positivo
"gran calidad de producto, definitivamente volveré a comprar",positivo
el celular llegó tarde y no funciona bien,negativo
"pésimo soporte técnico, nunca resolvieron mi problema",negativo
"servicio excelente, definitivamente recomiendo esta tienda",positivo
la app es súper intuitiva y funciona sin problemas,positivo
"excelente soporte técnico, resolvieron todo al instante",positivo
la app es confusa y falla todo el tiempo,negativo
la comida estaba fría y el lugar sucio,negativo
"no aprendí nada con este curso, muy mal explicado",negativo
"estoy feliz con la compra, todo perfecto",positivo
"el producto llegó dañado, muy mala experiencia",negativo
"todo excelente, quedé muy contento con el servicio",positivo
"malísimo el producto, no lo recomiendo para nada",negativo
"el curso fue genial, aprendí muchísimo",positivo
"atención horrible, todo el personal fue muy grosero",negativo
"todo pésimo, quedé muy molesto con el servicio",negativo
el envío llegó tarde y con el paquete roto,negativo
"el software es rápido y fácil de usar, lo amo",positivo
"me encantó el producto, funciona excelente",positivo
"el hotel estaba impecable, la atención fue excelente",positivo
"compra perfecta, el producto superó mis expectativas",positivo
el equipo fue grosero y no resolvió mi duda,negativo
"me fascinó la calidad, es justo lo que esperaba",positivo
el restaurante tiene un ambiente feo y la comida mala,negativo
"quedé encantado con el resultado, superó lo esperado",positivo
"muy mala atención, no vuelvo a comprar ahí",negativo
"pésima relación calidad precio, nada satisfecho con la compra",negativo
"no me gustó la película, la actuación fue pésima",negativo
"una decepción total, no cumplió lo prometido",negativo
"compra pésima, el producto no cumplió las expectativas",negativo
"muy buena experiencia de compra, todo llegó a tiempo",positivo
"mala calidad de producto, jamás volveré a comprar",negativo
"el servicio fue increíble, muy recomendable",positivo
"excelente calidad, superó mis expectativas",positivo
"atención maravillosa, todo el personal fue muy amable",positivo
"terrible experiencia, el personal fue grosero",negativo
"buenísima atención, volvería a comprar sin dudarlo",positivo
"el curso fue aburrido, no aprendí nada útil",negativo
"me decepcionó la calidad, no es lo que esperaba",negativo
"muy mala experiencia de compra, todo llegó tarde",negativo
el celular llegó rápido y funciona de maravilla,positivo
"el hotel estaba sucio, la atención fue pésima",negativo
"me gustó mucho la película, la actuación fue brillante",positivo
el equipo fue amable y resolvió mi duda rapidísimo,positivo
"hermoso diseño, funciona excelente y se ve genial",positivo
